2023 C-CPI-U Dollars
	Name	2016	Preceding
Period	Year Ago
from Period
The United States	73,520	71,000	71,000
Alabama	58,800	55,920	55,920
Alaska	94,290	94,360	94,360
Arizona	71,100	65,640	65,640
Arkansas	57,170	53,770	53,770
California	82,980	79,940	79,940
Colorado	87,870	83,660	83,660
Connecticut	94,540	91,570	91,570
Delaware	72,280	72,560	72,560
District of Columbia	88,390	88,030	88,030
Florida	63,730	61,340	61,340
Georgia	66,650	63,780	63,780
Hawaii	89,820	81,050	81,050
Idaho	70,440	64,850	64,850
Illinois	76,440	75,900	75,900
Indiana	69,850	65,310	65,310
Iowa	73,590	76,450	76,450
Kansas	70,740	68,930	68,930
Kentucky	56,500	53,250	53,250
Louisiana	52,540	57,690	57,690
Maine	63,330	63,760	63,760
Maryland	91,850	92,450	92,450
Massachusetts	89,990	85,250	85,250
Michigan	71,090	68,090	68,090
Minnesota	87,440	86,340	86,340
Mississippi	51,180	50,300	50,300
Missouri	68,510	74,370	74,370
Montana	71,070	64,570	64,570
Nebraska	73,930	75,970	75,970
Nevada	69,020	65,340	65,340
New Hampshire	94,960	95,070	95,070
New Jersey	85,260	85,880	85,880
New Mexico	60,330	56,680	56,680
New York	76,500	72,870	72,870
North Carolina	66,950	63,820	63,820
North Dakota	74,940	72,130	72,130
Ohio	67,220	66,960	66,960
Oklahoma	63,440	59,140	59,140
Oregon	73,640	76,420	76,420
Pennsylvania	75,930	75,870	75,870
Rhode Island	76,620	69,980	69,980
South Carolina	67,660	58,240	58,240
South Dakota	71,540	69,180	69,180
Tennessee	63,940	59,460	59,460
Texas	72,410	70,950	70,950
Utah	84,030	83,240	83,240
Vermont	75,760	74,740	74,740
Virginia	82,750	77,240	77,240
Washington	87,550	84,480	84,480
West Virginia	55,230	53,800	53,800
Wisconsin	74,490	69,630	69,630
Wyoming	72,010	76,540	76,540
