stateFlagCode,state,GasPrices_AvgPriceRegular_202406,GasPrices_AvgPriceMidGrade_202406,GasPrices_AvgPricePremium_202406,GasPrices_AvgPriceDiesel_202406,GasPrices_AvgPriceRegular_202303,GasPrices_AvgPriceMidGrade_202303,GasPrices_AvgPricePremium_202303,GasPrices_AvgPriceDiesel_202303
,California,4.96,5.18,5.35,5.18,4.92,5.12,5.27,5.61
,Hawaii,4.76,4.96,5.21,5.51,4.86,5.07,5.31,6.01
,Washington,4.43,4.71,4.93,4.54,4.25,4.46,4.66,5.03
,Oregon,4.17,4.41,4.64,4.1,3.91,4.11,4.31,4.73
,Nevada,4.14,4.4,4.64,3.92,4.34,4.58,4.8,4.7
,Alaska,4.05,4.3,4.56,3.84,3.83,3.97,4.18,4.41
,Illinois,3.83,4.38,4.82,3.79,3.64,4.07,4.5,4.32
,Arizona,3.73,4.06,4.35,3.85,3.8,4.07,4.34,4.44
,District of Columbia,3.69,4.27,4.65,4.2,3.49,4.04,4.41,4.74
,Pennsylvania,3.69,4.11,4.45,4.32,3.63,4.01,4.32,4.86
,Idaho,3.66,3.92,4.17,3.71,3.69,3.91,4.13,4.52
,New York,3.63,4.14,4.52,4.31,3.46,3.92,4.28,5.01
,Connecticut,3.59,4.17,4.54,4.06,3.31,3.83,4.25,4.67
,Maryland,3.55,4.11,4.42,3.94,3.3,3.77,4.02,4.27
,Vermont,3.53,4.06,4.45,4,3.43,3.91,4.37,4.59
,Utah,3.5,3.73,3.95,3.58,3.8,4.01,4.19,4.47
,Massachusetts,3.49,4.04,4.4,4.11,3.3,3.85,4.19,4.77
,Maine,3.47,3.97,4.4,4.12,3.42,3.8,4.17,5.21
,Rhode Island,3.46,4.1,4.44,4.18,3.28,3.87,4.22,4.72
,Michigan,3.45,3.97,4.48,3.73,3.54,3.96,4.42,4.43
,Delaware,3.44,3.96,4.25,3.81,3.27,3.69,3.92,4.17
,New Jersey,3.44,4,4.26,3.8,3.29,3.85,4.11,4.34
,Montana,3.43,3.75,4.04,3.78,3.27,3.54,3.84,4.24
,West Virginia,3.42,3.83,4.23,3.91,3.33,3.62,3.93,4.46
,New Hampshire,3.4,3.93,4.35,4.08,3.25,3.72,4.09,4.77
,Indiana,3.37,3.88,4.35,3.82,3.41,3.85,4.28,4.47
,Virginia,3.37,3.82,4.19,3.85,3.2,3.61,3.94,4.28
,Florida,3.34,3.77,4.09,3.71,3.32,3.7,4.03,4.44
,Georgia,3.31,3.74,4.13,3.83,3.2,3.59,3.96,4.31
,Wyoming,3.31,3.6,3.87,3.65,3.43,3.66,3.95,4.54
,North Dakota,3.29,3.58,3.89,3.62,3.28,3.52,3.87,4.35
,Ohio,3.29,3.79,4.27,3.72,3.36,3.78,4.2,4.33
,South Dakota,3.28,3.46,3.89,3.44,3.34,3.49,3.96,4.15
,Colorado,3.27,3.64,3.96,3.52,3.97,4.33,4.64,4.7
,Wisconsin,3.26,3.77,4.19,3.51,3.3,3.66,4.13,3.94
,Nebraska,3.25,3.46,3.91,3.51,3.28,3.46,3.91,4.06
,North Carolina,3.25,3.67,4.06,3.8,3.19,3.57,3.93,4.19
,Minnesota,3.24,3.6,4.01,3.62,3.31,3.59,4,4.06
,New Mexico,3.24,3.6,3.91,3.63,3.35,3.69,3.97,4.17
,Iowa,3.21,3.51,3.93,3.52,3.24,3.48,3.97,3.94
,Kentucky,3.2,3.7,4.12,3.61,3.11,3.52,3.9,4.13
,Alabama,3.14,3.56,3.94,3.66,3.08,3.46,3.84,4.15
,South Carolina,3.13,3.53,3.9,3.64,3.11,3.51,3.86,4.08
,Missouri,3.1,3.46,3.76,3.42,3.04,3.32,3.64,3.91
,Kansas,3.06,3.38,3.68,3.49,3.09,3.37,3.67,3.93
,Louisiana,3.06,3.48,3.84,3.52,3.08,3.46,3.81,4.06
,Tennessee,3.06,3.49,3.85,3.56,3.1,3.48,3.84,4.08
,Texas,3.01,3.42,3.77,3.37,3.02,3.39,3.73,3.89
,Oklahoma,3,3.34,3.59,3.3,3.08,3.4,3.64,3.82
,Arkansas,2.99,3.4,3.78,3.47,3.06,3.42,3.77,3.98
,Mississippi,2.97,3.39,3.76,3.51,2.99,3.36,3.71,4.04
