2023 C-CPI-U Dollars
	Name	2021	Preceding
Period	Year Ago
from Period
The United States	79,260	79,560	79,560
Alabama	63,750	63,980	63,980
Alaska	90,850	87,440	87,440
Arizona	79,310	78,480	78,480
Arkansas	56,870	59,400	59,400
California	91,350	90,840	90,840
Colorado	95,130	98,010	98,010
Connecticut	90,660	92,930	92,930
Delaware	76,920	81,920	81,920
District of Columbia	101,500	103,200	103,200
Florida	66,890	67,570	67,570
Georgia	68,860	69,330	69,330
Hawaii	92,050	94,560	94,560
Idaho	86,130	78,060	78,060
Illinois	88,750	86,960	86,960
Indiana	78,600	78,150	78,150
Iowa	81,110	80,510	80,510
Kansas	85,080	85,500	85,500
Kentucky	62,290	66,400	66,400
Louisiana	64,060	59,880	59,880
Maine	79,660	74,510	74,510
Maryland	109,000	110,900	110,900
Massachusetts	96,940	102,700	102,700
Michigan	72,210	75,330	75,330
Minnesota	90,080	92,130	92,130
Mississippi	52,230	52,800	52,800
Missouri	71,210	72,740	72,740
Montana	72,790	66,380	66,380
Nebraska	87,470	84,520	84,520
Nevada	72,050	71,550	71,550
New Hampshire	99,490	104,000	104,000
New Jersey	99,170	100,100	100,100
New Mexico	59,870	59,550	59,550
New York	81,660	80,320	80,320
North Carolina	70,430	70,700	70,700
North Dakota	77,140	75,010	75,010
Ohio	70,200	70,640	70,640
Oklahoma	67,300	61,380	61,380
Oregon	91,660	89,910	89,910
Pennsylvania	81,330	82,810	82,810
Rhode Island	83,970	93,790	93,790
South Carolina	70,040	70,590	70,590
South Dakota	82,750	82,110	82,110
Tennessee	69,610	64,310	64,310
Texas	75,480	80,020	80,020
Utah	98,150	98,260	98,260
Vermont	85,190	78,680	78,680
Virginia	89,890	96,180	96,180
Washington	98,150	95,180	95,180
West Virginia	52,450	60,800	60,800
Wisconsin	78,320	78,860	78,860
Wyoming	79,570	76,570	76,570
