STATE,Total_Population,Avg_AGI,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year,Rural VMT,Urban VMT,Total VMT
Alaska,7788980.0,4.5,500,300,5400,0,62000,3700,0,0,0,484900,41000,16100,2018,2276.520690035,3210.799304395,5487.31999443
Alaska,7788980.0,4.5,700,400,5800,0,64000,3200,0,0,0,473700,40100,14600,2019,2589.85610256,3291.447025075,5881.303127635
Alaska,7788980.0,4.5,900,400,6200,0,64000,2700,0,0,0,460900,39600,11400,2020,2482.95744,2822.93111,5305.88855
Alaska,7788980.0,4.5,1300,500,7300,7600,50100,100,0,0,0,464200,31700,6300,2021,2682.07237,3070.11528,5752.18765
Alaska,7788980.0,4.5,2700,900,10600,9600,46800,0,0,0,0,454300,29800,5100,2023,2467.0,3150.0,5617.0
Alaska,7788980.0,4.5,2000,700,9000,8700,48600,0,0,0,0,457100,30500,5500,2022,2406.10348,3072.0,5478.0
Alabama,47258650.0,4.5,1300,1500,31800,0,509500,17000,0,0,0,3733700,135900,46000,2018,28788.27199398,42378.934759875,71167.206753855
Alabama,47258650.0,4.5,2000,1800,33700,0,543900,15900,0,0,0,3806700,144900,44300,2019,29011.352422055003,42723.27538845,71734.627810505
Alabama,47258650.0,4.5,2900,2100,36300,0,567600,15100,0,0,0,3863500,154100,41600,2020,27813.55132,40107.94552,67921.49684
Alabama,47258650.0,4.5,4700,3300,42500,40500,449500,500,100,0,0,4051000,123500,32000,2021,29164.42232,42727.60904,71892.03136
Alabama,47258650.0,4.5,13000,5800,63300,54200,441200,100,100,0,0,4102200,127000,29000,2023,29230.0,43058.0,72289.0
Alabama,47258650.0,4.5,8700,4400,50800,48100,449800,100,100,0,0,4077100,126100,30300,2022,29140.51428,42490.0,71631.0
Arkansas,28459530.0,4.5,600,800,20300,0,370600,9200,0,0,0,2070200,101700,18100,2018,17787.340513494997,18887.968533320003,36675.30904681501
Arkansas,28459530.0,4.5,900,1000,21100,0,383000,8000,0,0,0,2059000,105200,16700,2019,17945.277779255,19153.74203867,37099.019817925
Arkansas,28459530.0,4.5,1300,1100,22400,0,392800,7200,0,0,0,2093700,111100,15700,2020,16305.24715,17613.51477,33918.76191
Arkansas,28459530.0,4.5,2400,1800,26100,28700,290200,300,0,0,0,2241600,88800,11000,2021,19258.96907,19167.8367,38426.80577
Arkansas,28459530.0,4.5,7100,3200,37000,37000,276700,200,0,0,0,2246100,90700,10300,2023,18855.0,20246.0,39101.0
Arkansas,28459530.0,4.5,5100,2500,30600,33300,283900,200,0,0,0,2229500,89700,10600,2022,18488.5605,20042.0,38530.0
Arizona,72485590.0,4.5,12600,7700,102000,0,533600,15500,0,0,0,5061900,196300,103700,2018,16342.948480849998,49801.56272451,66144.51120536
Arizona,72485590.0,4.5,19500,9600,108100,0,571500,14300,0,0,0,5186900,208800,99000,2019,16689.928833665,53590.717634595,70280.64646826
Arizona,72485590.0,4.5,28800,11200,115400,0,584800,13800,0,0,0,5202200,226000,103400,2020,15767.88222,49990.3969,65758.27912
Arizona,72485590.0,4.5,40700,15500,132200,51000,460400,900,900,0,0,5395300,191800,70500,2021,17619.57538,56140.3803,73759.95568
Arizona,72485590.0,4.5,89800,25600,175700,68600,437100,600,700,0,0,5469000,197700,64200,2023,18119.0,57178.0,75297.0
Arizona,72485590.0,4.5,65800,20400,150800,61200,446000,600,800,0,0,5476100,198700,70100,2022,17900.15315,58259.0,76159.0
California,412840200.0,4.5,273500,215000,1085300,0,1615200,77700,0,9400,300,28646700,761600,129800,2018,58432.196126955,290363.51732941007,348795.71345636505
California,412840200.0,4.5,349700,247300,1154200,0,1698700,76200,0,12700,300,29210100,785800,136900,2019,56480.47497096001,284355.77654788503,340836.25151884503
California,412840200.0,4.5,425300,265500,1228700,0,1745100,75300,0,14000,300,29642700,825900,116700,2020,55380.9434,244430.73966,299811.68307
California,412840200.0,4.5,563100,315300,1355900,163600,1343200,12600,1500,11800,0,30512600,710500,10400,2021,58381.06804,252441.65787,310822.72591
California,412840200.0,4.5,1256600,410700,1703200,201600,1314600,10100,1500,16900,0,31191900,735300,7900,2023,59682.0,256930.0,316612.0
California,412840200.0,4.5,903600,361100,1514000,183900,1338000,10300,1500,14900,0,31059000,725300,8200,2022,60266.79194,254977.0,315244.0
Colorado,63277240.0,4.5,12500,7400,84700,0,420500,13500,0,0,0,4278900,236200,78200,2018,15894.22210635,38059.3853974,53953.60750375
Colorado,63277240.0,4.5,19200,9300,92400,0,447700,12600,0,0,0,4347900,246700,73600,2019,16215.9583388,38417.5961711,54633.5545099
Colorado,63277240.0,4.5,24700,10800,96500,0,447000,11400,0,0,0,4263300,249700,89600,2020,15040.15321,33601.8934,48642.0466
Colorado,63277240.0,4.5,37000,16100,113600,53800,346700,600,100,0,0,4456600,208400,53500,2021,16723.07476,37116.63149,53839.70626
Colorado,63277240.0,4.5,90100,37500,152700,68100,334300,300,100,0,0,4508800,203400,46500,2023,17161.0,37494.0,54654.0
Colorado,63277240.0,4.5,59900,24000,131800,62100,346400,300,100,0,0,4506300,206800,49400,2022,16814.29542,37121.0,53935.0
Connecticut,39813850.0,4.5,5000,5200,45100,0,188100,2500,0,0,0,2643300,54000,28200,2018,3158.971345,28436.733983,31595.705328
Connecticut,39813850.0,4.5,6900,5700,47400,0,196800,2300,0,0,0,2632800,53100,27700,2019,3188.6883675,28412.159988,31600.848355499995
Connecticut,39813850.0,4.5,9000,6200,49600,0,199300,2000,0,0,0,2577600,53000,26100,2020,2936.49632,26908.44194,29844.93826
Connecticut,39813850.0,4.5,13300,9200,55400,8800,140700,400,0,0,0,2578400,44300,21500,2021,2858.19619,26130.34642,28988.54262
Connecticut,39813850.0,4.5,31600,18400,75300,10900,133600,100,0,0,0,2612600,42300,20900,2023,3113.0,27389.0,30503.0
Connecticut,39813850.0,4.5,22000,13100,64500,10100,139800,200,0,0,0,2636300,44100,21200,2022,3007.70311,26659.0,29666.0
