STATE,Total_Population,Year,PADD_Region,Gasoline_Price,Median_Income,Electric (EV)_per_1k,Plug-In Hybrid Electric (PHEV)_per_1k,Hybrid Electric (HEV)_per_1k,Biodiesel_per_1k,Ethanol/Flex (E85)_per_1k,Compressed Natural Gas (CNG)_per_1k,Propane_per_1k,Hydrogen_per_1k,Methanol_per_1k,Gasoline_per_1k,Diesel_per_1k,Unknown Fuel_per_1k,Rural VMT_per_1k,Urban VMT_per_1k,Total VMT_per_1k,Fatality_Count_per_1k,EV_growth
Alabama,47258650.0,2018,Gulf Coast (PADD 3),2.446,62250,0.02750819162206284,0.0317402211023802,0.6728926873704602,0.0,10.781095101108473,0.35972250582697557,0.0,0.0,0.0,79.00564235330464,2.875664031875646,0.9733667804729927,0.6091640788295899,0.8967445062411855,1.5059085850707754,0.02016562047371222,
Alabama,47258650.0,2019,Gulf Coast (PADD 3),2.283,59900,0.0423202948031736,0.03808826532285624,0.7130969674334752,0.0,11.50900417172306,0.3364463436852301,0.0,0.0,0.0,80.55033311362047,3.066105358489927,0.9373945298902951,0.613884493570066,0.9040308046981874,1.5179152982682536,0.019678937083475723,0.5384615384615383
Alabama,47258650.0,2020,Gulf Coast (PADD 3),1.851,66430,0.06136442746460172,0.044436309543332275,0.7681133506776008,0.0,12.010499665140667,0.31951822576396066,0.0,0.0,0.0,81.7522294860306,3.2607787145845255,0.8802621319060109,0.588538845692799,0.8486900391780129,1.4372288848708121,0.01976357767308207,0.44999999999999996
Alabama,47258650.0,2021,Gulf Coast (PADD 3),2.692,63980,0.09945269278745796,0.06982848642523644,0.8993062645674389,0.8569859697642653,9.511486257013265,0.0105800737007934,0.00211601474015868,0.0,0.0,85.71975712382812,2.6132782040959697,0.6771247168507776,0.6171234751733281,0.9041225054037727,1.5212459805771006,0.020800424895759822,0.6206896551724137
Alabama,47258650.0,2022,Gulf Coast (PADD 3),3.517,63750,0.18409328239380515,0.09310464856698192,1.0749354880006095,1.017803090016325,9.517834301233743,0.00211601474015868,0.00211601474015868,0.0,0.0,86.27203697100954,2.668294587340095,0.64115246626808,0.616617577522845,0.8990946630934231,,0.02090622563276776,0.8510638297872342
Alabama,47258650.0,2023,Gulf Coast (PADD 3),3.091,62290,0.2750819162206284,0.12272885492920343,1.3394373305204443,1.1468799891660044,9.335857033580096,0.00211601474015868,0.00211601474015868,0.0,0.0,86.80315667078936,2.6873387200015233,0.6136442746460171,,,,0.02128637862574109,0.49425287356321834
Alaska,7788980.0,2018,West Coast (PADD 5),3.3,95440,0.06419325765376212,0.03851595459225727,0.6932871826606308,0.0,7.959963949066502,0.4750301066378396,0.0,0.0,0.0,62.2546212726185,5.263847127608494,2.06702289645114,0.2922745584190741,0.4122233340430968,0.704497892462171,0.010270921224601938,
Alaska,7788980.0,2019,West Coast (PADD 5),3.337,82450,0.08987056071526696,0.05135460612300969,0.7446417887836405,0.0,8.216736979681551,0.4108368489840775,0.0,0.0,0.0,60.81669230117423,5.1482992638317215,1.8744431234898538,0.3325026001556045,0.42257741386869657,0.755080014024301,0.008601896525604124,0.3999999999999999
Alaska,7788980.0,2020,West Coast (PADD 5),2.82,92670,0.1155478637767718,0.05135460612300969,0.7959963949066502,0.0,8.216736979681551,0.3466435913303154,0.0,0.0,0.0,59.17334490523792,5.08410600617796,1.4636062745057763,0.3187782533784912,0.36242628816610134,0.6812045415445925,0.00821673697968155,0.2857142857142856
Alaska,7788980.0,2021,West Coast (PADD 5),3.7,87440,0.1669024698997815,0.06419325765376212,0.9372215617449269,0.9757375163371841,6.432164416906963,0.012838651530752422,0.0,0.0,0.0,59.597020405752744,4.069852535248518,0.8088350464374027,0.3443419253868928,0.39416140239158404,0.7385033277784768,0.008987056071526696,0.4444444444444444
Alaska,7788980.0,2022,West Coast (PADD 5),4.952,90850,0.25677303061504847,0.08987056071526696,1.155478637767718,1.1169626831754609,6.239584643945677,0.0,0.0,0.0,0.0,58.68547614706932,3.915788716879489,0.7061258341913832,0.3089112412665073,0.39440337502471445,,0.010527694255216987,0.5384615384615385
